Date,Location,ShortName,LongName,Census2019,Administered_Dose2,Series_Complete_18Plus,Series_Complete_Pop_Pct
2021-02-27,AK,AKA,Alaska,731545,95485,,
2021-02-27,AL,ALA,Alabama,4903185,300548,,
2021-02-27,AR,ARA,Arkansas,3017804,213974,,
2021-02-27,AS,ASA,American Samoa,55689,8037,,
2021-02-27,AZ,AZA,Arizona,7278717,498106,,
2021-02-27,BP2,BP2,Bureau of Prisons,0,22939,,
2021-02-27,CA,CAA,California,39512223,2506318,,
2021-02-27,CO,COA,Colorado,5758736,440500,,
2021-02-27,CT,CTA,Connecticut,3565287,295458,,
2021-02-27,DC,DCA,District of Columbia,705749,63706,,
2021-02-27,DD2,DD2,Dept of Defense,0,286109,,
2021-02-27,DE,DEA,Delaware,973764,67915,,
2021-02-27,FL,FLA,Florida,21477737,1693485,,
2021-02-27,FM,FMA,Federated States of Micronesia,103643,3726,,
2021-02-27,GA,GAA,Georgia,10617423,745853,,
2021-02-27,GU,GUA,Guam,165768,19542,,
2021-02-27,HI,HIA,Hawaii,1415872,129131,,
2021-02-27,IA,IAA,Iowa,3155070,166554,,
2021-02-27,ID,IDA,Idaho,1787065,119776,,
2021-02-27,IH2,IH2,Indian Health Svc,2082813,161105,,
2021-02-27,IL,ILA,Illinois,12671821,744792,,
2021-02-27,IN,INA,Indiana,6732219,547659,,
2021-02-27,KS,KSA,Kansas,2913314,184698,,
2021-02-27,KY,KYA,Kentucky,4467673,321940,,
2021-02-27,LA,LAA,Louisiana,4648794,366968,,
2021-02-27,MA,MAA,Massachusetts,6892503,475214,,
2021-02-27,MD,MDA,Maryland,6045680,447139,,
2021-02-27,ME,MEA,Maine,1344212,106125,,
2021-02-27,MH,MHA,Marshall Islands,58413,2267,,
2021-02-27,MI,MIA,Michigan,9986857,803702,,
2021-02-27,MN,MNA,Minnesota,5639632,435199,,
2021-02-27,MO,MOA,Missouri,6137428,432728,,
2021-02-27,MP,MPA,Northern Mariana Islands,56882,7552,,
2021-02-27,MS,MSA,Mississippi,2976149,193966,,
2021-02-27,MT,MTA,Montana,1068778,87159,,
2021-02-27,NC,NCA,North Carolina,10488084,839827,,
2021-02-27,ND,NDA,North Dakota,762062,77018,,
2021-02-27,NE,NEA,Nebraska,1934408,146594,,
2021-02-27,NH,NHA,New Hampshire,1359711,94510,,
2021-02-27,NJ,NJA,New Jersey,8882190,668746,,
2021-02-27,NM,NMA,New Mexico,2096829,231157,,
2021-02-27,NV,NVA,Nevada,3080156,218299,,
2021-02-27,NY,NYA,New York State,19453561,1380104,,
2021-02-27,OH,OHA,Ohio,11689100,851065,,
2021-02-27,OK,OKA,Oklahoma,3956971,368852,,
2021-02-27,OR,ORA,Oregon,4217737,338259,,
2021-02-27,PA,PAA,Pennsylvania,12801989,797495,,
2021-02-27,PR,PRA,Puerto Rico,3193694,187522,,
2021-02-27,RI,RIA,Rhode Island,1059361,70646,,
2021-02-27,RP,RPA,Republic of Palau,17907,3060,,
2021-02-27,SC,SCA,South Carolina,5148714,322313,,
2021-02-27,SD,SDA,South Dakota,884659,90529,,
2021-02-27,TN,TNA,Tennessee,6829174,441949,,
2021-02-27,TX,TXA,Texas,28995881,1806218,,
2021-02-27,UT,UTA,Utah,3205958,177135,,
2021-02-27,VA,VAA,Virginia,8535519,664132,,
2021-02-27,VA2,VA2,Veterans Health,0,775917,,
2021-02-27,VI,VIA,Virgin Islands,104680,6373,,
2021-02-27,VT,VTA,Vermont,623989,52718,,
2021-02-27,WA,WAA,Washington,7614893,546859,,
2021-02-27,WI,WIA,Wisconsin,5822434,470564,,
2021-02-27,WV,WVA,West Virginia,1792147,205801,,
2021-02-27,WY,WYA,Wyoming,578759,52608,,
2021-02-27,US,USA,United States,331996199,23698627,,
2021-02-27,LTC,LTC,Long Term Care,,,,
2021-02-28,AK,AKA,Alaska,731545,97692,,
2021-02-28,AL,ALA,Alabama,4903185,305731,,
2021-02-28,AR,ARA,Arkansas,3017804,226968,,
2021-02-28,AS,ASA,American Samoa,55689,8037,,
2021-02-28,AZ,AZA,Arizona,7278717,535189,,
2021-02-28,BP2,BP2,Bureau of Prisons,0,23057,,
2021-02-28,CA,CAA,California,39512223,2613260,,
